"id","label","wkt","wikidata_id","townland_label","barony_label","county_label","province_label","country_label"
40000179,"Liscahane (Ogham Site)","POINT(-9.046029 52.051362)","Q106628067","Liscahane","Muskerry West","Cork","Munster","Ireland"
40000180,"Lomanagh (Ogham Site)","POINT(-9.413611 51.883333)","Q85395546","Lomanagh","Glanarought","Kerry","Munster","Ireland"
40000181,"Lugnagappul (Ogham Site)","POINT(-10.124722 52.135833)","Q85395562","Lugnagappul","Corkaguiny","Kerry","Munster","Ireland"
40000182,"Mangerton (Ogham Site)","POINT(-9.875 51.858611)","Q85395541","Gearha","Dunkerron South","Kerry","Munster","Ireland"
40000183,"Martramane (Ogham Site)","POINT(-10.023333 52.251944)","Q85395622","Martramane","Corkaguiny","Kerry","Munster","Ireland"
40000184,"Maumanorig (Ogham Site)","POINT(-10.359444 52.144722)","Q85395564","Maumanorig","Corkaguiny","Kerry","Munster","Ireland"
40000185,"Monataggart (Ogham Site)","POINT(-8.779444 51.974444)","Q85394081","Monataggart","Muskerry East","Cork","Munster","Ireland"
40000186,"Mount Music / Knockoran (Ogham Site)","POINT(-9.083889 51.926111)","Q85394128","Coolavokig","Muskerry West","Cork","Munster","Ireland"
40000187,"Mountrivers (Ogham Site)","POINT(-8.829444 51.970833)","Q85394114","Mountrivers","Muskerry East","Cork","Munster","Ireland"
40000188,"Mountrussell (Ogham Site)","POINT(-8.562778 52.328611)","Q85396939","Mountrussell","Coshlea","Limerick","Munster","Ireland"
40000189,"Mullyknock or Topped Mountain (Ogham Site)","POINT(-7.5175 54.362222)","Q85392831","Mullyknock or Topped Mountain","Tirkennedy","Fermanagh","Ulster","Northern Ireland"
40000190,"Newcastle (Ogham Site)","POINT(-8.105278 52.275833)","Q85396941","Newcastle","Iffa and Offa West","Tipperary","Munster","Ireland"
40000191,"Nobber (Ogham Site)","POINT(-6.597584 53.819089)","Q106628032","Bigstown","Slane Lower","Meath","Leinster","Ireland"
40000192,"Old Island (Ogham Site)","POINT(-7.59 52.160833)","Q85396859","Glendalligan","Decies without Drum","Waterford","Munster","Ireland"
40000193,"Painestown / Saneschalstown (Ogham Site)","POINT(-6.559167 53.673333)","Q85391671","Painestown","Duleek Lower","Meath","Leinster","Ireland"
40000194,"Parkavonear (Ogham Site)","POINT(-9.558333 52.077778)","Q85396972","Parkavonear","Magunihy","Kerry","Munster","Ireland"
40000195,"Parknasilla (Ogham Site)","POINT(-9.875 51.858611)","Q85395605","Gearha","Dunkerron South","Kerry","Munster","Ireland"
40000196,"Portmarnock (Ogham Site)","POINT(-6.1525 53.419722)","Q85391732","Portmarnock","Coolock","Dublin","Leinster","Ireland"
40000197,"Priesttown (Ogham Site)","POINT(-7.758056 52.221667)","Q85396903","Priest-Town","Iffa and Offa West","Tipperary","Munster","Ireland"
40000198,"Rantavan (Ogham Site)","POINT(-6.954444 53.805)","Q85392813","Rantavan","Castlerahan","Cavan","Ulster","Ireland"
40000199,"Ratass (Ogham Site)","POINT(-9.67583 52.2675)","Q106626875","Ratass","Trughanacmy","Kerry","Munster","Ireland"
40000200,"Rathcanning (Ogham Site)","POINT(-8.075556 51.977222)","Q85393934","Rathcanning","Imokilly","Cork","Munster","Ireland"
40000201,"Rathcobane (Ogham Site)","POINT(-8.246111 52.005278)","Q85393922","Rathcobane","Barrymore","Cork","Munster","Ireland"
40000202,"Rathduff (Ogham Site)","POINT(-10.024444 52.167778)","Q85395627","Rathduff","Corkaguiny","Kerry","Munster","Ireland"
